Epoch: 0, BLUE:1: 0.006530612098927401, BLUE_2: 0.0, BLUE_3: 0.0, BLUE_4: 0.0
Epoch: 1, BLUE:1: 0.7251996972731182, BLUE_2: 0.6545958817005157, BLUE_3: 0.5760216747416931, BLUE_4: 0.39109706351546203
Epoch: 2, BLUE:1: 0.7170848100363802, BLUE_2: 0.6478898774604408, BLUE_3: 0.5709312154727728, BLUE_4: 0.3857273471598722
Epoch: 3, BLUE:1: 0.7009834636028122, BLUE_2: 0.6223080667103229, BLUE_3: 0.5385967807299425, BLUE_4: 0.3721291143067029
Epoch: 4, BLUE:1: 0.7004418386285808, BLUE_2: 0.6225240115000277, BLUE_3: 0.5264996936937578, BLUE_4: 0.36901958894972897
Epoch: 5, BLUE:1: 0.6956812560963793, BLUE_2: 0.6189884580925208, BLUE_3: 0.5382046478033877, BLUE_4: 0.3951467025239451
Epoch: 6, BLUE:1: 0.6892432757989079, BLUE_2: 0.611900884379335, BLUE_3: 0.534559904566022, BLUE_4: 0.3792775816657916
Epoch: 7, BLUE:1: 0.6745033111093807, BLUE_2: 0.5909671680051454, BLUE_3: 0.5030489273521365, BLUE_4: 0.354598759135016
Epoch: 8, BLUE:1: 0.6819331938920378, BLUE_2: 0.6038171440160194, BLUE_3: 0.5206708915176845, BLUE_4: 0.3552989197426102
Epoch: 9, BLUE:1: 0.6851935531614589, BLUE_2: 0.6088177223189347, BLUE_3: 0.5246909877576795, BLUE_4: 0.39103211847697794
Epoch: 10, BLUE:1: 0.6781812553503075, BLUE_2: 0.5980439227657254, BLUE_3: 0.510536039058043, BLUE_4: 0.35965482505405844
Epoch: 11, BLUE:1: 0.6711209187296783, BLUE_2: 0.5931826038222735, BLUE_3: 0.5087733287490955, BLUE_4: 0.3564672720472829
Epoch: 12, BLUE:1: 0.6804428896328218, BLUE_2: 0.603848514508228, BLUE_3: 0.5141636528024057, BLUE_4: 0.3757737590139415
Epoch: 13, BLUE:1: 0.6704741649481715, BLUE_2: 0.5890725047207203, BLUE_3: 0.5008815955243954, BLUE_4: 0.3452277339640118
Epoch: 14, BLUE:1: 0.6890205028308493, BLUE_2: 0.6071965222050544, BLUE_3: 0.5138083994895423, BLUE_4: 0.35387466330917516
Epoch: 15, BLUE:1: 0.6754917856179127, BLUE_2: 0.5941338483370892, BLUE_3: 0.5047178105736265, BLUE_4: 0.32894249270562415
Epoch: 16, BLUE:1: 0.6792807335756263, BLUE_2: 0.5969230892504154, BLUE_3: 0.5060630063621365, BLUE_4: 0.3582702450403551
Epoch: 17, BLUE:1: 0.6692325831676016, BLUE_2: 0.5910619580421318, BLUE_3: 0.5039032236958036, BLUE_4: 0.3602566521893553
Epoch: 18, BLUE:1: 0.6762713100634464, BLUE_2: 0.5953492947987148, BLUE_3: 0.5029428838973954, BLUE_4: 0.3490728432832121
Epoch: 19, BLUE:1: 0.6870491965895608, BLUE_2: 0.6041752170948755, BLUE_3: 0.5070793068631977, BLUE_4: 0.351627157253473
