epochs,BLEU1,BLEU2,BLEU3,BLEU4
0,0.007051706567508023,0.0,0.0,0.0
1,0.7770489369373338,0.6801271342805454,0.5289599259897154,0.2819501215300592
2,0.8109730444595117,0.7138593893270103,0.5696529124667045,0.318396313255336
3,0.8043447091263167,0.7075090166054615,0.546024092200662,0.3258743540567606
4,0.7842702690233179,0.6819076984107089,0.4891320221683606,0.2611699630411304
5,0.7900491138907517,0.6977831108026764,0.5270165101606019,0.34981378872378344
6,0.7814568338700297,0.6852642602863765,0.5118062178902074,0.30209019658516867
7,0.7864021647746872,0.6894143862383706,0.5209702861552336,0.3116096949496237
8,0.7942958944508819,0.6976734661326116,0.5233411280070843,0.29583663731610693
9,0.7611220990922175,0.6710614645156731,0.49216389950035383,0.34406234313841577
10,0.7843651649903278,0.6882782071626106,0.5196724037329356,0.2975645195059225
11,0.7686111660433464,0.6778272238312936,0.49913410203797476,0.3206789036389111
12,0.7721200005537798,0.6800943489382867,0.49599966122990563,0.32265424262098713
13,0.7779351819534691,0.6793551125696727,0.49279663331654605,0.31244551608351623
14,0.7702708777521743,0.6682173852004162,0.4754469345013301,0.2760084844162675
15,0.7650054484403053,0.6752359516361133,0.4881763714714115,0.30510543408442514
16,0.7794795909098217,0.6862621075239311,0.5108776880162103,0.31919475041684653
17,0.7782496172351901,0.6883746419025927,0.5229221027927334,0.34512546577421177
18,0.7551153695502248,0.6683130398088571,0.5003918547208618,0.32428078282447087
19,0.7755303254135612,0.6898421922914025,0.5375840036439247,0.3729733025946585
