epochs,BLEU1,BLEU2,BLEU3,BLEU4
0,0.006530612098927401,0.0,0.0,0.0
1,0.7251996972731182,0.6545958817005157,0.5760216747416931,0.39109706351546203
2,0.7170848100363802,0.6478898774604408,0.5709312154727728,0.3857273471598722
3,0.7009834636028122,0.6223080667103229,0.5385967807299425,0.3721291143067029
4,0.7004418386285808,0.6225240115000277,0.5264996936937578,0.36901958894972897
5,0.6956812560963793,0.6189884580925208,0.5382046478033877,0.3951467025239451
6,0.6892432757989079,0.611900884379335,0.534559904566022,0.3792775816657916
7,0.6745033111093807,0.5909671680051454,0.5030489273521365,0.354598759135016
8,0.6819331938920378,0.6038171440160194,0.5206708915176845,0.3552989197426102
9,0.6851935531614589,0.6088177223189347,0.5246909877576795,0.39103211847697794
10,0.6781812553503075,0.5980439227657254,0.510536039058043,0.35965482505405844
11,0.6711209187296783,0.5931826038222735,0.5087733287490955,0.3564672720472829
12,0.6804428896328218,0.603848514508228,0.5141636528024057,0.3757737590139415
13,0.6704741649481715,0.5890725047207203,0.5008815955243954,0.3452277339640118
14,0.6890205028308493,0.6071965222050544,0.5138083994895423,0.35387466330917516
15,0.6754917856179127,0.5941338483370892,0.5047178105736265,0.32894249270562415
16,0.6792807335756263,0.5969230892504154,0.5060630063621365,0.3582702450403551
17,0.6692325831676016,0.5910619580421318,0.5039032236958036,0.3602566521893553
18,0.6762713100634464,0.5953492947987148,0.5029428838973954,0.3490728432832121
19,0.6870491965895608,0.6041752170948755,0.5070793068631977,0.351627157253473
