epochs,BLEU1,BLEU2,BLEU3,BLEU4
0,0.036506599360177305,0.0,0.0,0.0
1,0.5965981277934953,0.47125236173065344,0.24396907264480786,0.09369617284966164
2,0.650750536851737,0.5397035203316585,0.3495014980942214,0.16992411078238973
3,0.6789727122301147,0.5584492275909502,0.3596386580544264,0.18234121079753046
4,0.7037225754893556,0.5818393063687143,0.3989512072939451,0.2030134064202406
5,0.6858923583715951,0.5756246611273208,0.4018966178504788,0.21603776849046044
6,0.6712242842835634,0.5548385237248576,0.36231231294116195,0.19295737421026035
7,0.6846761041555275,0.5642218132611034,0.3844529930122045,0.20261537729680132
8,0.6802725339321052,0.5698761953180339,0.3885727209501526,0.2206602133557099
9,0.6984207267765286,0.5838818648437254,0.40496127018514944,0.22764060549995527
10,0.6732021446536187,0.5544369032188338,0.3629579987047481,0.19446910532558856
11,0.6841883246793228,0.5723285468257203,0.4012691696383515,0.2295257037594205
12,0.6807787134533837,0.5655070809381348,0.36627887088019834,0.20711015773062802
13,0.6822421080907997,0.5575598600466235,0.3491532322602207,0.18542577316160916
14,0.6804505552412295,0.5638093408070454,0.3658024001689184,0.201975743482713
15,0.6954574128296099,0.5793831320036025,0.4067515251891954,0.2297379005522955
16,0.6893362761253402,0.5824946250741173,0.40390925393218086,0.24103272123401667
17,0.7002231212598937,0.5948951914906502,0.4200790979627038,0.2373220081232032
18,0.6943522180576308,0.5827168729536387,0.40299240337545367,0.23800605991665197
19,0.6909625743116651,0.5795635484716519,0.4102971763128326,0.248141727784053
